date, mac_count, company
2019-02-04 07:10:00, 74, Samsung Electronics Co
2019-02-04 08:00:00, 119, SAMSUNG ELECTRO-MECHANICS(THAILAND)
2019-02-04 08:10:00, 121, Apple
2019-02-04 09:00:00, 153, Apple
2019-02-04 09:10:00, 261, Apple
2019-02-04 10:00:00, 314, Motorola Mobility LLC
2019-02-04 10:10:00, 456, Samsung Electronics Co
2019-02-04 11:00:00, 399, Motorola Mobility LLC
2019-02-04 11:10:00, 523, SAMSUNG ELECTRO-MECHANICS(THAILAND)
2019-02-04 12:00:00, 459, Samsung Electronics Co
2019-02-04 12:10:00, 516, Samsung Electronics Co
2019-02-04 13:00:00, 578, LG Electronics (Mobile Communications)
2019-02-04 13:10:00, 598, Motorola Mobility LLC
2019-02-04 14:00:00, 713, SAMSUNG ELECTRO-MECHANICS(THAILAND)
2019-02-04 14:10:00, 671, Samsung Electronics Co
2019-02-04 15:00:00, 677, Motorola Mobility LLC
2019-02-04 15:10:00, 640, Motorola Mobility LLC
2019-02-04 16:00:00, 695, SAMSUNG ELECTRO-MECHANICS(THAILAND)
2019-02-04 16:10:00, 796, Samsung Electronics Co
2019-02-04 17:00:00, 665, Motorola Mobility LLC
2019-02-04 17:10:00, 674, Samsung Electronics Co
2019-02-04 18:00:00, 640, SAMSUNG ELECTRO-MECHANICS(THAILAND)
2019-02-04 18:10:00, 544, Motorola Mobility LLC
2019-02-04 19:00:00, 597, Samsung Electronics Co
2019-02-04 19:10:00, 206, Samsung Electronics Co
